[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] Invalid argument supplied for foreach() PublicModel.class.php 第 25 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `user_dept_duty` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\SerialNumberModel.class.php，行号:123，运行时间:0.0039s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `user_dept_duty` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\SerialNumberModel.class.php，行号:123，运行时间:0.0039s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT user_dept_duty.id as id,mis_system_company.id as companyid,mis_system_company.name as name,mis_system_company.picture as picture FROM `user_dept_duty` LEFT JOIN mis_system_company as mis_system_company on mis_system_company.id = user_dept_duty.companyid WHERE ( user_dept_duty.status = 1 ) AND ( user_dept_duty.userid = '1' )  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:82，运行时间:0.0035s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT user_dept_duty.id as id,mis_system_company.id as companyid,mis_system_company.name as name,mis_system_company.picture as picture FROM `user_dept_duty` LEFT JOIN mis_system_company as mis_system_company on mis_system_company.id = user_dept_duty.companyid WHERE ( user_dept_duty.status = 1 ) AND ( user_dept_duty.userid = '1' )  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:82，运行时间:0.0035s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 85 行.
